obs_id,date,time,station,lat,lon,source,temp_c,humidity_pct,rain_mm,weather_condition,system_predicted,human_observed
16,16/3/2025,21:00,ภูชี้ฟ้า,19.851383,100.453975,api,22.4,32,0,Mainly Clear,1,1
14,2/3/2025,21:00,ภูชี้ฟ้า,19.851383,100.453975,api,20.3,37,0,Clear,1,1
69,16/3/2025,21:00,ภูชี้เดือน,19.882131,100.500142,api,19.7,40,0,Partly Cloudy,1,1
122,16/3/2025,21:00,ภูชี้ดาว,19.869002,100.486419,api,21.8,40,0,Partly Cloudy,1,1
544,2/3/2025,21:00,บ้านปางหลวง,19.488732,99.588826,api,21.6,41,0,Clear,1,1
12,16/2/2025,21:00,ภูชี้ฟ้า,19.851383,100.453975,api,17.9,44,0,Clear,1,1
489,16/2/2025,21:00,ศูนย์การเรียนรู้ อบจ.เชียงราย,19.928346,99.859843,api,23.2,45,0,Clear,1,1
67,2/3/2025,21:00,ภูชี้เดือน,19.882131,100.500142,api,17.4,47,0,Clear,1,1
120,2/3/2025,21:00,ภูชี้ดาว,19.869002,100.486419,api,19.6,48,0,Clear,1,1
230,30/3/2025,21:00,สวนแม่ฟ้าหลวง (ดอยตุง),20.32611,99.813845,api,22.2,50,0,Clear,1,1
548,30/3/2025,21:00,บ้านปางหลวง,19.488732,99.588826,api,24.5,50,0,Clear,1,1
274,26/1/2025,21:00,ฮ่อมลมจอย,19.705495,99.760664,api,22,51,0,Clear,1,1
279,2/3/2025,21:00,ฮ่อมลมจอย,19.705495,99.760664,api,23.7,51,0,Clear,1,1
546,16/3/2025,21:00,บ้านปางหลวง,19.488732,99.588826,api,22.5,51,0,Mainly Clear,1,0
547,23/3/2025,21:00,บ้านปางหลวง,19.488732,99.588826,api,22.3,51,0,Clear,1,1
171,16/2/2025,21:00,หอดูดาวมหาวิทยาลัยราชภัฏเชียงราย,19.992071,99.844441,api,21.2,52,0,Clear,1,1
65,16/2/2025,21:00,ภูชี้เดือน,19.882131,100.500142,api,16.1,53,0,Clear,1,1
228,16/3/2025,21:00,สวนแม่ฟ้าหลวง (ดอยตุง),20.32611,99.813845,api,18.4,53,0,Mainly Clear,1,1
10,2/2/2025,21:00,ภูชี้ฟ้า,19.851383,100.453975,api,16.3,54,0,Clear,1,1
17,23/3/2025,21:00,ภูชี้ฟ้า,19.851383,100.453975,api,20.2,54,0,Clear,1,1
118,16/2/2025,21:00,ภูชี้ดาว,19.869002,100.486419,api,18.3,54,0,Clear,1,1
332,2/3/2025,21:00,ดอยสะโง้,20.346547,99.98753,api,23.8,54,0,Clear,1,1
438,2/3/2025,21:00,แก้วก๋างนา ฟาร์มสเตย์,20.364135,99.886741,api,23.9,54,0,Clear,1,1
226,2/3/2025,21:00,สวนแม่ฟ้าหลวง (ดอยตุง),20.32611,99.813845,api,16,55,0,Clear,1,1
281,16/3/2025,21:00,ฮ่อมลมจอย,19.705495,99.760664,api,25,55,0,Mainly Clear,1,1
539,26/1/2025,21:00,บ้านปางหลวง,19.488732,99.588826,api,17.8,56,0,Clear,1,1
542,16/2/2025,21:00,บ้านปางหลวง,19.488732,99.588826,api,19.2,57,0,Clear,1,1
8,19/1/2025,21:00,ภูชี้ฟ้า,19.851383,100.453975,api,13.8,59,0,Clear,1,1
70,23/3/2025,21:00,ภูชี้เดือน,19.882131,100.500142,api,18.1,59,0,Clear,1,1
123,23/3/2025,21:00,ภูชี้ดาว,19.869002,100.486419,api,20.2,59,0,Clear,1,1
277,16/2/2025,21:00,ฮ่อมลมจอย,19.705495,99.760664,api,20.2,59,0,Clear,1,1
62,26/1/2025,21:00,ภูชี้เดือน,19.882131,100.500142,api,15.6,60,0,Clear,1,1
115,26/1/2025,21:00,ภูชี้ดาว,19.869002,100.486419,api,17.8,60,0,Clear,1,1
173,2/3/2025,21:00,หอดูดาวมหาวิทยาลัยราชภัฏเชียงราย,19.992071,99.844441,api,22.7,60,0,Clear,1,1
389,30/3/2025,21:00,ศรีค้ำ แม่จัน,20.220655,99.827766,api,26.7,60,0,Clear,1,1
61,19/1/2025,21:00,ภูชี้เดือน,19.882131,100.500142,api,12.7,61,0,Clear,1,1
233,20/4/2025,21:00,สวนแม่ฟ้าหลวง (ดอยตุง),20.32611,99.813845,api,21.7,61,0.2,Light Drizzle,1,0
334,16/3/2025,21:00,ดอยสะโง้,20.346547,99.98753,api,23.8,61,0,Partly Cloudy,1,1
385,2/3/2025,21:00,ศรีค้ำ แม่จัน,20.220655,99.827766,api,20.7,61,0,Clear,1,1
440,16/3/2025,21:00,แก้วก๋างนา ฟาร์มสเตย์,20.364135,99.886741,api,24,61,0,Partly Cloudy,1,1
495,30/3/2025,21:00,ศูนย์การเรียนรู้ อบจ.เชียงราย,19.928346,99.859843,api,26.8,61,0,Clear,1,1
18,30/3/2025,21:00,ภูชี้ฟ้า,19.851383,100.453975,api,20.4,62,0,Clear,1,1
63,2/2/2025,21:00,ภูชี้เดือน,19.882131,100.500142,api,14,62,0,Clear,1,1
114,19/1/2025,21:00,ภูชี้ดาว,19.869002,100.486419,api,14.9,62,0,Clear,1,1
116,2/2/2025,21:00,ภูชี้ดาว,19.869002,100.486419,api,16.2,62,0,Clear,1,1
175,16/3/2025,21:00,หอดูดาวมหาวิทยาลัยราชภัฏเชียงราย,19.992071,99.844441,api,23.3,62,0,Mainly Clear,1,1
177,30/3/2025,21:00,หอดูดาวมหาวิทยาลัยราชภัฏเชียงราย,19.992071,99.844441,api,26.6,62,0,Clear,1,1
181,27/4/2025,21:00,หอดูดาวมหาวิทยาลัยราชภัฏเชียงราย,19.992071,99.844441,api,27.5,62,0,Clear,1,1
392,20/4/2025,21:00,ศรีค้ำ แม่จัน,20.220655,99.827766,api,27.4,62,0,Clear,1,1
60,12/1/2025,21:00,ภูชี้เดือน,19.882131,100.500142,api,8.4,63,0,Clear,1,1
113,12/1/2025,21:00,ภูชี้ดาว,19.869002,100.486419,api,10.6,63,0,Clear,1,1
221,26/1/2025,21:00,สวนแม่ฟ้าหลวง (ดอยตุง),20.32611,99.813845,api,16.2,63,0,Clear,1,1
222,2/2/2025,21:00,สวนแม่ฟ้าหลวง (ดอยตุง),20.32611,99.813845,api,13.1,63,0,Partly Cloudy,1,1
286,20/4/2025,21:00,ฮ่อมลมจอย,19.705495,99.760664,api,27.2,63,0,Clear,1,1
287,27/4/2025,21:00,ฮ่อมลมจอย,19.705495,99.760664,api,27,63,0,Mainly Clear,1,0
336,30/3/2025,21:00,ดอยสะโง้,20.346547,99.98753,api,26.4,63,0,Clear,1,1
339,20/4/2025,21:00,ดอยสะโง้,20.346547,99.98753,api,27.4,63,0,Clear,1,1
442,30/3/2025,21:00,แก้วก๋างนา ฟาร์มสเตย์,20.364135,99.886741,api,26.5,63,0,Clear,1,1
445,20/4/2025,21:00,แก้วก๋างนา ฟาร์มสเตย์,20.364135,99.886741,api,27.6,63,0,Clear,1,1
